SRR1566022	SRR1566023	SRR1566024	SRR1566028	SRR1566029	SRR1566030	SRR2773794	SRR2773795	SRR2773796	SRR2773797	SRR2773798	SRR2773799
5071	2367	1822	3150	2233	1685	3966	3062	3261	5490	107	2658
2484	1969	1785	1278	1296	1166	1707	2144	2969	2674	137	2359
3534	2897	3440	2624	3247	4116	4237	5765	9129	5486	313	6062
1155	450	526	712	454	484	715	615	822	801	12	660
419	292	402	270	227	304	276	487	848	278	27	465
3	1	1	0	0	0	2	3	5	6	2	4
3361	1986	2406	1986	1789	1914	2870	2927	4390	3584	118	3797
2780	1076	1283	1655	1116	1066	1817	1463	1933	2624	55	1637
16	7	9	38	16	39	21	9	33	24	3	40
4338	1836	2423	2606	2134	2637	3146	2997	4682	4580	152	3621
77	28	22	16	9	16	38	28	37	46	6	28
1841	958	882	1014	778	617	1238	1199	1462	1531	35	1160
2327	1425	1501	1129	1399	1181	1802	1902	2624	2421	60	1891
4393	3227	4627	7206	6340	7120	4035	7101	9376	4480	286	8540
1568	982	980	1254	922	1043	1228	1436	1937	1697	63	1505
35755	38336	40633	35286	34881	38372	31016	50273	80434	40892	6425	59166
697	157	215	266	194	173	407	255	346	492	8	268
6980	2257	2132	2036	1467	1308	3723	2408	3107	4845	80	2432
4616	5223	5817	4205	4857	5308	6460	8287	12186	6548	370	8556
3686	2008	1695	2662	1838	1737	2679	2583	3014	3568	102	2475
2124	923	1193	1748	1245	1469	1607	1405	2293	2037	27	1846
18413	6085	7619	8028	6024	6917	10424	8846	13104	14847	288	10324
