SRR1566022	SRR1566023	SRR1566024	SRR1566028	SRR1566029	SRR1566030	SRR2773794	SRR2773795	SRR2773796	SRR2773797	SRR2773798	SRR2773799
1296	627	724	1680	1301	1367	1154	1302	1578	1288	38	1498
1071	528	512	1114	1042	889	948	1044	1229	1169	29	925
604	626	548	1265	797	1006	871	951	1281	862	92	929
19300	12791	16262	24362	19176	20835	18566	21517	32443	22367	776	27784
1544	542	467	1173	812	675	1328	1154	1142	1536	46	865
5850	2673	2625	2931	2650	2480	4019	3419	4746	5374	101	3400
7880	4474	4134	4512	3871	3613	4933	5332	7129	6728	122	5362
2096	1375	1957	1922	1629	1880	1594	2050	3260	2055	100	2887
2243	1074	1295	3491	2315	2715	2211	2180	3124	2725	64	2638
12781	4704	7874	14494	7086	10379	9442	8249	14724	12636	292	13626
21750	10367	13613	20302	15172	18076	16544	18737	28199	21907	639	22800
563	322	348	431	429	503	361	572	632	434	36	583
12323	5245	4343	9175	6627	5020	11461	7046	8539	17097	214	6827
1218	615	783	1156	1060	1069	890	1136	1616	1292	28	1382
126	108	117	163	175	167	112	153	219	145	9	166
0	0	0	0	0	0	0	1	1	0	0	1
1897	933	1128	2016	1691	2260	1856	2128	2981	2320	147	2536
4781	1799	2169	2787	1871	2176	3119	2320	3515	3991	86	3086
4672	1770	2087	2737	1846	2120	3053	2273	3422	3888	86	3005
7960	3257	2706	3259	2160	2022	5672	3796	4628	7147	186	3155
7549	2975	2422	3129	2061	1890	5453	3571	4270	6875	175	2914
4882	2894	2457	3159	3045	2440	4060	4337	5379	5424	131	3659
5286	2601	2339	2683	1927	1841	3366	2837	3410	4257	89	2783
12014	6750	6107	8642	7647	7523	9650	9809	12349	12803	291	9762
12748	8471	8990	11138	10408	10725	9636	12171	16565	13882	322	13467
26529	21751	19385	15907	16376	16206	29140	30546	38976	28073	1110	28464
5465	1757	2067	2108	1684	1842	2912	2094	3131	3900	32	2564
2918	1381	1220	1580	1130	1044	2051	1689	2077	2809	54	1620
1993	1264	1110	290	354	326	1054	1173	1656	1285	32	1004
130	29	29	38	51	67	113	65	61	89	2	40
759	344	383	816	526	630	585	565	738	806	17	653
18785	7232	14648	32036	21690	29605	13848	20295	33556	15345	1419	36819
1144	1314	2566	6009	4286	5088	1511	4085	5794	2008	112	6716
36762	22307	27082	34277	27537	32024	29084	37168	53384	36874	1709	49807
185	165	168	881	791	752	302	617	802	411	14	562
0	1	0	1	0	0	0	0	0	0	0	0
3584	1736	2278	2907	2016	2727	2420	2259	4019	3253	62	3419
5940	2356	8322	8538	5134	8341	1118	4901	10325	4621	124	18006
0	0	1	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0
2522	2276	2444	1171	1504	1474	1453	2249	3495	2115	74	2593
5274	2900	2722	2517	1673	1871	2959	2691	3665	3397	90	2866
384	759	745	557	717	944	450	1056	1665	398	27	1058
308	297	273	867	636	799	551	831	1130	505	48	716
2538	1822	1977	2183	2564	2607	2235	3162	4375	2974	121	3110
6893	5361	5776	1706	2861	2748	3889	5918	8529	4964	183	6870
6385	7792	14008	12848	18688	22295	11896	28795	36700	11224	4993	32987
9023	5102	5306	6821	5363	5980	6486	7070	10131	8910	208	8419
625	384	554	424	393	494	455	559	983	607	21	821
3679	1461	1896	2774	1931	2166	2412	2321	3335	3346	99	2994
4767	1748	1726	4022	2719	3240	4265	3719	5245	5433	169	3659
750	307	142	788	507	418	653	431	460	797	31	371
2487	998	1046	2631	1562	1450	2134	1769	2026	2934	66	1845
1216	430	1107	1462	1812	2116	1074	1425	1855	1278	80	3072
3453	1153	1341	2554	1146	1442	2577	1610	2353	3471	74	2110
4730	2234	1666	3439	2387	1862	3989	3065	3289	5521	106	2644
